True,trizol_depth,ivt_depth,trizol_median,ivt_median,ks_stat,ks_pval,ks_effect_size,u_stat,u_pval,u_effect_size
22,1011.0,51626,30.0,38.0,0.15727522185261322,6.752934807885439e-22,0.004994546429272218,20219059.5,1.0817244839022734e-34,0.3873836774675103
23,1014.0,51639,19.0,22.0,0.0961802298180438,1.7690576998538657e-08,0.0030499272603120584,22943975.0,1.4042471347667035e-11,0.43818033424502595
24,1019.0,51659,22.0,26.0,0.05754257257446216,0.002538362139269846,0.0018203035816901619,24483033.5,0.0001207969921227415,0.4650986167101196
25,1035.0,51695,26.0,25.0,0.028748330158356372,0.3666378752520434,0.0009024996970175521,27216377.5,0.33788729055488653,0.5086762144929405
26,1037.0,51706,32.0,40.0,0.10617594596196489,1.858877237436148e-10,0.0033300342795552864,23182355.0,7.879524799661493e-14,0.43235237980957614
27,1044.0,51731,24.0,27.0,0.06401782178379156,0.00042660897320552244,0.0020011946257757944,25074611.0,7.398402711122056e-05,0.4642830532630819
28,1044.0,51736,16.0,18.0,0.06115234609899828,0.0008939248210816777,0.0019116181396703468,24709438.5,2.2716383275565995e-06,0.4574772796549769
29,1048.0,51738,23.0,25.0,0.04183921838718219,0.053350582481910734,0.0013054416955961406,25619785.5,0.002259139504509154,0.472502999921212
30,1052.0,51742,69.0,70.0,0.029389198205251432,0.3308022105496835,0.0009152727787656877,27129891.5,0.8598551985627303,0.49841270625697287
31,1054.0,51748,23.0,24.0,0.02297174645365757,0.6420962446070406,0.0007147466202004942,27010791.5,0.5945763297072717,0.49522564943613034
32,1056.0,51770,15.0,19.0,0.07052917625160238,6.240600529152065e-05,0.002192409288877297,24911197.0,6.947126937134838e-07,0.45567217837053164
33,1057.0,51779,18.0,15.0,0.09434633616712085,1.7012602821146168e-08,0.0029314040412534224,30462400.0,2.3792147104210336e-10,0.556590091251475
34,1058.0,51784,36.0,43.0,0.10915437018156265,3.0806901034103405e-11,0.0033899252405010377,23308240.0,8.925826138928977e-17,0.42543010562706746
35,1058.0,51786,26.0,24.0,0.10145208611534001,9.135181322745335e-10,0.0031507199746964184,29365396.0,4.9311594356124954e-05,0.5359667241885447
36,1058.0,51787,19.0,22.0,0.07039241698300103,6.373180706302947e-05,0.0021861231234933222,25363969.5,2.728702335662779e-05,0.4629251770457315
37,1059.0,51789,13.0,13.0,0.03569785811538506,0.13911488610594697,0.0011081274025768503,26802206.0,0.20538421349939673,0.48869405458347176
38,1068.0,51852,14.0,12.0,0.0740415460771236,1.9056400797824896e-05,0.002288848323657623,29352141.5,0.0006756768133772084,0.5300331435248868
39,1073.0,51867,26.0,30.0,0.06979892707513019,6.584962563814123e-05,0.0021527583867607717,25375449.0,7.277587327349987e-07,0.4559559469717613
40,1079.0,51895,27.0,32.0,0.1050745423160993,1.2226956519424037e-10,0.00323188136248993,24599449.5,8.16410336622493e-12,0.43931742295990306
41,1087.0,51927,18.0,23.0,0.05095629171154914,0.007613094943986685,0.0015616428376458848,26388757.0,0.00018461193248598326,0.4675156541411038
42,1090.0,51964,61.0,59.0,0.023300570119468733,0.6033172761203734,0.0007131174733604787,28533703.0,0.6698537653907195,0.5037662453681766
43,1090.0,51971,42.0,26.0,0.05449918347193983,0.003356780106940568,0.0016679534468533636,29058073.0,0.13409626305737155,0.5129549665930488
44,1090.0,51972,17.0,20.0,0.09142389303485216,3.101699763150535e-08,0.002798037652326925,24899744.0,7.189864430296198e-12,0.43954055712426665
45,1093.0,51999,22.0,24.0,0.043298372952382924,0.03504875867462875,0.001323361643830659,27485753.5,0.06239853232867169,0.4836069055237479
46,1097.0,52018,32.0,32.0,0.02197335590271271,0.6727936577208034,0.0006703858577836346,28217303.5,0.5312929214190385,0.49448740186106954
47,1097.0,52019,13.0,14.0,0.05368349125222338,0.0039034695438458257,0.001637831123608346,26779555.5,0.0004482390611025208,0.4692829085677148
48,1099.0,52022,24.0,26.0,0.07654035849395135,6.0692240440757805e-06,0.002333088668800266,26183384.5,1.7670260083402092e-06,0.4579742353002539
49,1106.0,52042,22.0,26.0,0.08589501329882882,2.0356448016131793e-07,0.0026100982878033523,25174891.0,9.257385812576684e-13,0.437379570249735
50,1109.0,52054,48.0,56.0,0.09314221206714551,1.1407984503356898e-08,0.0028265616425791297,25466478.0,1.829270097794655e-11,0.4411469008236331
51,1112.0,52091,14.0,19.0,0.0704978241591327,3.6799112497299004e-05,0.00213653510544789,26165348.0,2.438753968533174e-08,0.45170930119661923
52,1116.0,52138,50.5,46.0,0.042050728071944765,0.040770177586425,0.001272155955656093,30151468.0,0.03723350343025351,0.5181910400177308
53,1119.0,52151,12.0,20.0,0.13476123134496582,7.791080400400218e-18,0.004071551715865178,24705586.5,9.055696378580907e-19,0.4233528047010118
54,1119.0,52153,16.0,17.0,0.03805461235962304,0.08179826202137579,0.0011497465427981848,28236604.0,0.06286656174842715,0.4838414613824345
55,1121.0,52160,21.0,24.0,0.08056306540501196,1.1700670338082195e-06,0.0024319271915182847,26103279.0,7.692747764240674e-10,0.4464284565982389
56,1123.0,52163,14.0,13.0,0.08119846739061948,9.088301400619051e-07,0.0024489686964741415,31419288.0,1.7981744732022005e-05,0.5363570856194678
57,1123.0,52171,21.0,20.0,0.0334700091399211,0.1671543028473824,0.001009463292141383,30311511.0,0.04502957483887619,0.5173669339607289
58,1123.0,52172,44.0,53.0,0.10939293953986978,6.153160273821511e-12,0.0032993159375259247,25413813.5,2.7837852754883647e-14,0.43376309261051654
59,1123.0,52172,6.0,6.0,0.013929574271388967,0.9826323813412267,0.0004201191282531962,29293998.0,0.9990147925421037,0.4999901005571748
60,1124.0,52185,47.0,55.0,0.09142415925820979,1.7920408705908515e-08,0.002756165191962976,25906415.0,2.020868039289903e-11,0.4416673741823931
61,1124.0,52191,65.0,84.0,0.10207814562320405,1.8551746279536016e-10,0.003077347313105564,25928482.0,2.6085726499457527e-11,0.4419927666453175
62,1127.0,52196,42.0,36.0,0.08054818018195425,1.0912003958348372e-06,0.002425115633189174,31111672.0,0.0008341330741259751,0.5288861728806914
63,1127.0,52198,36.0,41.0,0.09189247426689717,1.4108660694741876e-08,0.0027666644383541232,25680326.0,2.829223356589131e-13,0.4365387027274789
64,1128.0,52206,13.0,14.0,0.05060710801155155,0.006707677977260915,0.0015229962669186389,27674560.0,0.00043256036348374085,0.46994951532703366
65,1130.0,52217,30.0,35.0,0.07076808980088367,2.8438487574530915e-05,0.0021278807894298357,26699702.5,4.400112926450532e-08,0.45249737268963197
66,1134.0,52231,47.0,48.0,0.023116445439076316,0.5886617599148993,0.0006938708033428421,29178331.0,0.39484008536269466,0.4926279530792815
67,1134.0,52233,16.5,19.0,0.06810220626199026,6.261740538792673e-05,0.0020441773138792137,27001505.0,3.356346111997084e-07,0.4558583839721562
68,1134.0,52236,13.0,12.0,0.10260757952005367,1.1910395430536492e-10,0.0030798996069943438,31793197.0,7.476300354287558e-06,0.5367242691661356
69,1134.0,52240,13.0,12.0,0.06323838423123773,0.00026127800761329144,0.0018981805945863701,31270745.0,0.0007075737828464477,0.5278639524268672
70,1134.0,52240,28.0,32.0,0.06321853283313211,0.00026274890160637066,0.0018975847296047205,27501282.0,3.6527435429135935e-05,0.46423375628965213
71,1134.0,52240,19.0,21.0,0.07098042949242545,2.557994416576214e-05,0.0021305679374295896,26758632.0,2.4185849040302103e-08,0.4516974971033164
72,1136.0,52244,31.0,34.0,0.05682187643894143,0.001445067251039744,0.0017041094313814183,27902313.5,0.0005611059636493918,0.47013811512555925
73,1137.0,52246,21.0,22.0,0.051387487601361914,0.00536761128020098,0.0015404660018209506,28761744.0,0.06721327431342522,0.484174269138984
74,1137.0,52246,6.0,6.0,0.022745333279060587,0.607757073400013,0.0006818471626456954,29906406.0,0.6508472228833768,0.5034434722603652
75,1138.0,52254,35.0,41.0,0.10711932110981753,1.3138231182096641e-11,0.0032097780642682235,25474052.0,1.2352546025149168e-16,0.4283869456634798
76,1139.0,52263,18.0,31.0,0.13051614061702554,4.851244117193001e-17,0.003909164575610466,25369383.0,4.866470322257654e-18,0.4261788032053793
77,1140.0,52270,50.0,54.0,0.04684264228583701,0.014420072696301084,0.001402406764517114,28714409.0,0.03603606953987701,0.4818840265960482
78,1144.0,52271,31.0,34.0,0.051234569222554927,0.00536654232020205,0.0015312682890111654,28507993.5,0.007005843891701071,0.4767380524145748
79,1145.0,52279,6.0,6.0,0.06668239796035569,8.742466059367206e-05,0.001992108693443687,31282910.5,0.002969734859309105,0.5226060026774384
80,1145.0,52280,20.0,23.0,0.06825599810225763,5.4132061480122326e-05,0.002039118920239057,27484907.0,2.1263205375443925e-06,0.45914853843763676
81,1147.0,52291,20.0,23.0,0.06878059185154528,4.519146399879637e-05,0.0020530324971598946,27639194.5,5.363781349036303e-06,0.46082392316740917
82,1148.0,52294,20.5,23.0,0.06974394568153869,3.310810963683188e-05,0.00208089894241154,27336979.5,2.1358982154475985e-07,0.45536199014976836
83,1150.0,52298,20.0,22.0,0.04985802100670572,0.0071372898799713464,0.0014863096759281703,28721073.0,0.00899917110573658,0.4775487798186646
84,1152.0,52298,21.0,23.0,0.06895994137230665,4.08260579991506e-05,0.002054007185060271,28258928.5,0.00031414143552608784,0.4690489096805274
85,1152.0,52299,18.0,21.0,0.10040344939673795,2.2843917566241695e-10,0.002990567565275254,26339546.5,2.6499392101828904e-13,0.43718215778769937
86,1152.0,52300,26.0,30.0,0.06757488846398979,6.272515586008498e-05,0.002012751845104583,27523906.5,5.12516436992522e-07,0.456831356556724
87,1153.0,52310,47.0,54.0,0.09832266213345853,5.734318217996575e-10,0.002927340744585373,26309499.5,1.1506685407211065e-13,0.43621295456086645
88,1155.0,52318,20.0,20.0,0.04088250523894088,0.04450689346035696,0.0012161530049172558,30027039.5,0.7176599776430537,0.49691190023580406
89,1155.0,52337,21.0,20.0,0.0408675477861713,0.04462963898969736,0.001215703291421505,30957785.5,0.1573390354449974,0.5121286563841544
90,1158.0,52341,8.0,8.0,0.037250986530833585,0.08423021271556133,0.0011067137949413682,29280245.5,0.042817321780656795,0.48308565172080165
91,1159.0,52341,19.0,23.0,0.09418042916581792,3.1700168700019804e-09,0.00279688641991566,26433663.5,6.420804956377053e-14,0.43574449123776304
92,1159.0,52345,17.0,18.0,0.04903250658853853,0.008237749889557687,0.0014561224610475426,28519262.0,0.0004695617145081896,0.47008851722217637
93,1159.0,52345,32.0,40.0,0.11153648006839867,9.094506620360887e-13,0.0033123082043645877,26192227.0,1.4918493078616187e-15,0.4317315487748825
94,1159.0,52349,18.0,19.0,0.03534313433743802,0.11525543376654675,0.0010495871563945772,29497924.0,0.10542042447863333,0.4861828402595173
95,1160.0,52353,15.0,17.0,0.048829530567362,0.00858061601702876,0.001449480633900903,28750582.5,0.0017679550691326999,0.47342052821792646
96,1160.0,52356,43.0,48.0,0.06929693530498104,3.410496516225772e-05,0.0020570442141361984,27547006.0,6.028232338471993e-08,0.4535758836717328
97,1160.0,52368,6.0,6.0,0.03422977443450592,0.1372354217395803,0.001016090888793554,29478937.5,0.06149588377680303,0.4852749227614653
98,1160.0,52374,43.0,43.0,0.025752281666475696,0.4344136791507637,0.0007644405117508294,30075398.0,0.5624452401914648,0.4950369886084567
99,1160.0,52376,7.0,9.0,0.09032433912874027,1.584861773825873e-08,0.002681220885811344,27082025.5,6.995685894517717e-11,0.44574945980786146
100,1162.0,52376,36.0,42.0,0.10420563530168592,3.166348828347031e-11,0.003090672937250463,26548817.5,9.36030383257502e-14,0.4362211578426561
101,1163.0,52378,20.0,21.0,0.04097660412648885,0.04261505916600877,0.0012148282713663131,29286003.0,0.024454673875136588,0.4807634870100792
102,1164.0,52381,15.0,12.0,0.044395524307723866,0.021745236070834104,0.0013156345439630356,31554182.0,0.03654794084915208,0.517523601688947
103,1164.0,52381,20.0,22.0,0.0605725128815956,0.00044216549464888674,0.0017950298279912093,28503812.0,0.00014306559057547877,0.4674941485760786
104,1168.0,52393,18.0,19.0,0.04256507849396382,0.03089558154643182,0.0012592725085817816,29171574.0,0.006285296663809214,0.47669846489479273
105,1168.0,52400,21.0,25.0,0.07293736275227436,9.617798021927592e-06,0.0021578224504482926,27692428.5,2.557575701585155e-08,0.45246700335930146
106,1171.0,52402,15.0,16.0,0.042286408909171624,0.03228883666219,0.0012494572735638806,29335377.5,0.009971160587640967,0.4780649714121315
107,1172.0,52402,52.0,65.0,0.13073648414794897,1.4390862100513525e-17,0.003861322724154879,25610229.0,2.139675963300206e-22,0.417001855438131
108,1174.0,52413,21.0,25.0,0.08781811578990106,3.57386063002319e-08,0.0025915540988796695,27331301.0,5.436722751623193e-11,0.44417405775795055
109,1176.0,52416,27.0,32.0,0.10413668672597243,2.4436589244412982e-11,0.003070563898151381,26513020.0,2.1804355418776753e-16,0.43011838053292134
110,1179.0,52416,19.0,23.0,0.101673109545247,7.454458592526938e-11,0.0029941903292337786,26839728.0,1.0724750702495235e-14,0.43431060034113467
111,1180.0,52417,13.0,15.0,0.07248054470619081,9.928299293157619e-06,0.0021336078717977,28794847.0,3.971452198749365e-05,0.4655438638583743
112,1180.0,52417,41.0,42.0,0.022817574709718624,0.580405770696389,0.0006716803414396736,30720674.5,0.6959949885466212,0.4966798923107816
113,1180.0,52417,21.0,25.0,0.0901106769928115,1.2667528053132454e-08,0.0026525856082378597,27538226.0,1.128534115394558e-10,0.4452273052829607
114,1180.0,52419,26.0,30.0,0.07823190323343099,1.3234232318947463e-06,0.002302909492965237,27830350.0,3.780966825219105e-09,0.44993308481431077
115,1184.0,52421,17.0,15.0,0.054793003835372334,0.0018186588878660358,0.0016102720619489545,32282110.5,0.015505695646878544,0.5201216312242308
116,1184.0,52421,16.0,16.0,0.02140179920673435,0.6594022278096527,0.000628962037591335,30497297.0,0.3046056992253092,0.49136514366276773
117,1184.0,52422,28.0,36.0,0.1442666878564497,1.650986107887985e-21,0.004239748721983847,25227463.0,2.7789395509607082e-28,0.4064510870461855
118,1184.0,52422,17.0,16.0,0.02840887413681281,0.3033514093056759,0.0008348877319093958,31598860.5,0.27869380450811265,0.5091035590715473
119,1184.0,52422,24.0,23.0,0.04333597432272607,0.025039326761793386,0.0012735694184198912,30341474.0,0.18644055737480203,0.48884523544375325
120,1185.0,52425,24.0,31.0,0.10263993770485869,4.1725716764815676e-11,0.003015163649417253,26525736.5,7.121731803773288e-18,0.4269830760841789
121,1185.0,52425,34.0,35.0,0.03896536945485718,0.057773091920509195,0.0011446515673483035,30630936.0,0.4126195193188883,0.49306420866457806
122,1188.0,52427,12.0,14.0,0.04531800799945074,0.016359632814045972,0.001329622155221936,29812286.5,0.009900092986080317,0.47865636515330373
123,1190.0,52433,22.0,24.0,0.058922431139411646,0.0005843738253766982,0.001727350130226593,28761800.5,3.878201114956119e-06,0.4609612315164274
124,1190.0,52433,29.0,31.0,0.03843695203178066,0.06266530339505143,0.0011268047297729438,30194486.5,0.05741087490228591,0.4839226835623918
125,1191.0,52434,12.0,13.0,0.05769488887985741,0.0008121653034064989,0.0016906691117022478,29671844.5,0.002854925877434818,0.47513803046696074
126,1193.0,52435,19.0,22.0,0.05982857792799956,0.0004448324237583363,0.001751756035637445,30048646.0,0.019564891573686176,0.48035596860392593
127,1194.0,52437,28.0,33.0,0.10460223960544951,1.3365453966678306e-11,0.0030614547779115706,26828781.5,2.6063131767134625e-17,0.42850785223994886
128,1194.0,52442,17.0,19.0,0.07202411763890448,1.0066555719985754e-05,0.002107969636988461,28542316.0,1.669605528898265e-07,0.455832868114903
129,1196.0,52444,33.5,35.0,0.04943626442500604,0.006322210356788059,0.0014456945270943853,30339823.5,0.053635399704598616,0.48371110901795805
130,1197.0,52451,8.0,8.0,0.022088898120562694,0.6130909446178545,0.00064569416033692,30934007.0,0.37205305864407934,0.492706459991214
131,1197.0,52453,30.0,35.0,0.10582210201117148,6.850930359536677e-12,0.0030933496032725825,27223938.0,3.543597811844161e-15,0.43359719528359725
132,1198.0,52459,22.0,22.0,0.022799154923149934,0.571904693777458,0.0006661829763167234,31423235.5,0.9995571050463753,0.5000046860667816
133,1198.0,52460,32.0,41.0,0.1337724521171071,9.21268614451762e-19,0.003908781340222616,25982067.0,1.00417679036963e-24,0.4134172502525177
134,1198.0,52462,15.0,12.0,0.13625536034699798,1.8939647152552986e-19,0.003981329301675848,34712056.5,1.5348679653844362e-10,0.5523046286018359
135,1200.0,52473,27.0,30.0,0.061881253215939624,0.00023488085513429695,0.0018066684702233479,28838167.0,6.161373310627732e-07,0.45798421727999794
136,1204.0,52478,54.0,58.0,0.062439580756447954,0.00019346730490631567,0.0018200044136491094,29464248.0,6.279697613175053e-05,0.4663281142080231
137,1208.0,52485,14.0,20.0,0.09807387415010405,2.317260137910568e-10,0.0028540468533756864,28139410.5,1.467052335323145e-11,0.44382612155980233
138,1209.0,52491,23.0,20.0,0.05924617208394889,0.00046999835157510514,0.001723422921736554,33771457.0,0.0001272385428563922,0.5321556167673567
139,1209.0,52497,6.0,6.0,0.01377902204124537,0.9775531464520992,0.0004008200198768328,32066268.0,0.49931466241225964,0.5052282557467186
140,1209.0,52497,28.0,31.0,0.07590290755596052,2.2117323459295465e-06,0.0022079509579287808,29148142.0,1.212577382692428e-06,0.45925097803453985
141,1209.0,52497,22.0,28.0,0.10913930991022958,9.691327249324768e-13,0.003174769605318686,27171451.5,1.0506565718821133e-17,0.42810672721414167
142,1209.0,52497,26.0,22.0,0.08189871277531585,2.3256970424538574e-07,0.002382363826999307,35045377.5,5.079209812315711e-10,0.5521663745313392
143,1209.0,52497,41.0,44.0,0.040132932563652135,0.043235950454508974,0.0011674328395533035,30312441.5,0.007617033361548808,0.47759539546259155
144,1209.0,52497,6.0,6.0,0.03909399809257674,0.05259442749659787,0.0011372111203267388,30853304.5,0.047075699245957885,0.48611710026740196
145,1211.0,52498,17.0,19.0,0.06226567272162842,0.00019333089581167136,0.0018097924284908437,29341137.0,4.310015444218181e-06,0.461519480951325
146,1212.0,52501,17.0,15.0,0.028345837574176636,0.2930564682700204,0.0008235574519045051,32398184.5,0.26718512523837834,0.5091555461807014
147,1213.0,52502,12.0,19.0,0.11410310816722935,6.271048690562822e-14,0.003313804936258661,27209223.0,1.840306550500466e-18,0.4272474619818197
148,1213.0,52505,64.0,69.0,0.06826437367524296,2.9356335241630115e-05,0.0019825461036801053,29305920.5,1.9935849780169426e-06,0.4601441483255275
149,1213.0,52505,25.0,27.0,0.05844391375437641,0.0005732070165610434,0.0016973385568404644,29602210.0,2.658277267751684e-05,0.46479630998123445
150,1214.0,52506,6.0,6.0,0.037721114605808626,0.06668525965211695,0.001095061999726436,32847487.5,0.03528029623837528,0.5153170774363843
151,1214.0,52510,16.0,15.0,0.02031567220113717,0.7073891480445917,0.0005897731737273217,32013468.5,0.793164405863497,0.5021945847296051
152,1214.0,52512,18.0,22.0,0.10638224246476463,3.5769315611752354e-12,0.0030883233961741083,28091527.0,1.258943364221071e-12,0.44065439000308204
153,1215.0,52512,40.0,49.0,0.12333655893350182,3.147904179092916e-16,0.003579074219367062,27421053.0,5.1330034562080127e-17,0.4297830572294822
154,1215.0,52512,38.0,37.0,0.03399293565350847,0.1260377218957462,0.0009864329010806246,32372389.5,0.37759537673025234,0.5073876823451524
155,1215.0,52513,12.0,13.0,0.05325416187361487,0.0022637159871234146,0.0015453695031191774,29874565.0,9.114239472882881e-05,0.46822918784993783
156,1215.0,52514,22.0,25.0,0.07594927067067825,2.0351190799827108e-06,0.0022039528419566506,28402589.5,5.757805309757127e-11,0.4451501860918609
157,1215.0,52517,29.0,37.0,0.10675336091444737,2.8966084452792132e-12,0.0030978470120043284,27434098.0,5.964233088141552e-17,0.4299465797122641
158,1215.0,52522,23.0,19.0,0.10244320114808247,2.5036636781357687e-11,0.00297276844760544,34030430.0,5.186257680688761e-05,0.5332733780537664
159,1216.0,52523,28.0,29.0,0.03824795240080281,0.06026174058791278,0.0011094594431701344,30277186.5,0.0019416704399116346,0.47405902282659124
160,1217.0,52529,23.0,27.0,0.09381199817112407,1.392006740068919e-09,0.0027201108615647193,27883740.0,2.3623275389673765e-14,0.43617554574424305
161,1217.0,52530,19.0,20.0,0.03936563384917113,0.04881591377096313,0.0011414197247084266,30430440.0,0.004105090861329169,0.4760036171371964
162,1219.0,52534,7.0,7.0,0.031034005462863168,0.19808693282990134,0.0008991188409520934,32880060.5,0.09294224172301825,0.5134385019391169
163,1219.0,52536,17.0,18.0,0.04822451994479071,0.007538548567509138,0.0013971627289112026,29906637.0,7.751158301790939e-05,0.4669892362101356
164,1221.0,52543,29.0,37.0,0.11813744284292216,5.399412163021478e-15,0.0034199368553695622,27993048.0,2.487813520694086e-14,0.4363346066712833
165,1221.0,52543,23.0,28.0,0.08914444287376938,1.013208580622372e-08,0.002580624383759087,27795021.5,1.2876660256760765e-15,0.4332479183268061
166,1222.0,52545,14.0,14.0,0.019044108245461433,0.7756292041730206,0.0005510832902880238,32348530.5,0.6431867683407932,0.5037927976627936
167,1222.0,52547,18.0,16.0,0.0616135186527893,0.0002163257404024613,0.0017829223328209615,34075537.5,0.00023140862749667596,0.5306688343257632
168,1222.0,52553,82.0,90.0,0.07590107070773189,1.91654535948611e-06,0.002196361146733909,30466556.0,0.0021885789879258475,0.4744108846488167
169,1223.0,52553,20.0,19.0,0.04857187430875182,0.006829238898824642,0.0014049702399275513,33412700.5,0.01728488068678492,0.5198614429953896
170,1223.0,52555,12.0,13.0,0.040731568602390134,0.03684829987361618,0.0011781842426766289,30637602.0,0.004393022456269344,0.4766661068305734
171,1223.0,52555,6.0,12.0,0.13181926063829252,1.3596963783656011e-18,0.0038129485579449633,27520185.0,4.48671358418013e-19,0.42816469262859225
172,1223.0,52555,6.0,6.0,0.05126067749917096,0.003578627773067216,0.0014827448235054635,30492358.0,0.00023914159326387962,0.47440637083620607
173,1223.0,52555,16.0,16.0,0.032991439175234616,0.14550003555476018,0.0009542965103780697,31946146.5,0.7213960969093787,0.49702471101994694
174,1224.0,52556,25.0,27.0,0.07611532448177283,1.7331651816363873e-06,0.0022008003233298674,30196874.0,0.00023269622963588383,0.4694164071240288
175,1224.0,52556,52.0,56.0,0.06099600202361177,0.00025585684180053065,0.0017636398700177677,29792004.5,9.946316564486856e-06,0.46312263028990674
176,1226.0,52560,36.0,42.0,0.07920114912561671,5.331907404544022e-07,0.0022881958477988587,29027954.5,2.8750619149024797e-09,0.4504749097434828
177,1226.0,52560,31.0,33.0,0.048295678860607594,0.007186430045780687,0.0013953076824705594,30557485.0,0.001955295273079783,0.47421117107520716
178,1228.0,52562,20.0,18.0,0.059062001790471275,0.00043584592499012456,0.0017049977500441583,33934090.0,0.001953131953491767,0.5257338719702757
179,1228.0,52563,25.0,30.0,0.11997168466864117,1.5575619444968604e-15,0.003463333476803063,27608224.5,4.119031857570648e-18,0.4277204023389708
180,1229.0,52567,30.0,31.0,0.019301989480881465,0.7583655563013892,0.0005569863208296347,31910477.5,0.46634882448849424,0.4939332102393624
181,1230.0,52567,11.0,12.0,0.0346269514971293,0.1097336603762486,0.0009988128833932,31174607.0,0.029615296266350895,0.48215056866645295
182,1230.0,52568,31.0,34.0,0.07810371514154957,7.717507854768186e-07,0.0022528977165608356,30041062.0,2.1296309525741816e-05,0.4646101742937989
183,1230.0,52569,17.0,18.0,0.02883355626913575,0.26663116757428906,0.0008317022927186459,31252664.0,0.045194453957971184,0.48333941902450467
184,1230.0,52572,10.0,11.0,0.03381620189176093,0.12549960753017267,0.0009754257863679174,31427831.5,0.08601355848449564,0.4860207433676711
185,1230.0,52572,28.0,35.0,0.1424039134251192,9.558870818792575e-22,0.004107630114084716,26367095.0,1.5838874991525636e-28,0.40775817168123746
186,1230.0,52574,22.0,24.0,0.043303917575258255,0.021353340289427234,0.001249097684626355,30753385.0,0.003322167087687051,0.4755725650040006
187,1232.0,52574,23.0,25.0,0.04925978793527386,0.005569408539386092,0.001419766835393614,30686571.5,0.0015959260362236871,0.47376900012054746
188,1232.0,52574,58.0,64.0,0.05913720746860707,0.00041528032177647934,0.0017044540673224699,30174818.0,4.0894923796844846e-05,0.4658680541317396
189,1233.0,52575,17.0,19.0,0.06180432773016886,0.00018857658228514797,0.0017806195314604945,30172142.0,2.9621773603637313e-05,0.46544008694179984
190,1234.0,52575,19.0,17.0,0.06017899874455801,0.0003029825399488463,0.0017331062869993098,34749959.5,1.7811557203660497e-05,0.5356237943633815
191,1241.0,52575,12.0,9.0,0.07154216971802307,7.463887604708431e-06,0.002054670961511428,35210981.5,7.483917018508382e-07,0.539668498591667
192,1241.0,52575,31.0,40.0,0.08893444497960207,8.18434182124096e-09,0.0025541722077753837,28847284.5,2.8993924590080688e-12,0.44213396080883643
193,1242.0,52577,47.0,47.0,0.025539093540806967,0.4028203678614101,0.0007331867229351737,32028226.0,0.25031613100177597,0.4904734309317732
194,1244.0,52578,6.0,12.0,0.1936988976965046,2.6136304188877034e-40,0.005556417161166716,25460577.5,1.9600887064114624e-43,0.38926361159454537
195,1247.0,52578,109.0,129.0,0.11023317005356204,2.257157613940458e-13,0.0031584140169352896,28186668.5,2.360240969755639e-17,0.42990572863479753
196,1247.0,52579,22.0,25.0,0.05354246566738777,0.0017636405200537253,0.0015341048136963764,30471747.5,1.9864669012278364e-05,0.4647491300103912
